doi,abstract,abstract_length,has_abstract,source
10.1002/1878-0261.13792,"Hypermethylation of tumor suppressor genes is a hallmark of leukemia. The hypomethylating agent decitabine covalently binds, and degrades DNA (cytosine-5)-methyltransferase 1 (DNMT1). Structural similarities within DNA-binding domains of DNMT1, and the leukemic driver histone-lysine N-methyltransferase 2A (KMT2A) suggest that decitabine might also affect the latter. In acute lymphoblastic leukemia (ALL) cell lines, and xenograft models, we observed increased DNMT1, and KMT2A expression in response to decitabine-induced demethylation. Strikingly, KMT2A protein expression was diminished in all cell lines that experienced DNMT1 degradation. Moreover, only cells with reduced KMT2A protein levels showed biological effects following decitabine treatment. KMT2A wild-type, and rearranged cells were locked in G2 and G1 cell cycle phases, respectively, likely due to p27/p16 activation. Primary sample gene expression profiling confirmed different patterns between KMT2A wild-type, and translocated cells. This newly discovered decitabine mode of action via KMT2A degradation evokes anti-leukemic activity in adult ALL cells, and can act synergistically with menin inhibition. Following the successful clinical implementation of decitabine for acute myeloid leukemia, the drug should be considered a potential promising addition to the therapeutic portfolio for ALL as well.",1376,TRUE,jsonl
10.1002/adfm.202414129,"Abstract Since the advent of 3D printing technology, a significant effort has been made to develop new 3D printable materials. Despite the recent progress in the field of 3D printing, the limited availability of photoactive resins has motivated continuous research endeavors to develop novel photoresins with multifunctional capabilities. Herein a biobased photoresin derived is reported from modified olive oil, designed for high‐resolution solvent‐free 4D printing with multifunctional capabilities. The physicochemical properties of the printed polymers are fine‐tuned using acrylic acid as a diluent cum comonomer. The mechanical properties of the printed polymers are similar to various soft tissues, such as ligaments, articular cartilage, and soft collagenous bone, showcasing its potential for soft tissue engineering applications. While the excellent temperature‐responsive shape memory 4D attributes coupled with exceptional antimicrobial properties toward gram‐negative and gram‐positive bacteria highlight the multifunctional nature of the printed polymers. Moreover, the printed polymers exhibited outstanding hemocompatibility and good cytocompatibility toward mouse fibroblast cells, suggesting their potential soft tissue engineering applications. In sum, the newly developed biobased resin can be employed to minimize the environmental impact of additive manufacturing while being competitive with existing fossil‐based photoresins, thereby meeting the growing demand for advanced photoresins with superior high‐resolution printing and smart properties for biomedical applications.",1598,TRUE,jsonl
10.1002/adom.202501584,"Abstract Cellulose nanocrystals, a type of needle‐like polysaccharide nanomaterial, self‐assemble into left‐handed helical stacks showing selective optical reflection with visible‐range photonic bandgap and distinct circular polarization due to left‐handed twisted organization, called Bouligand structure, with a pitch length of several hundreds of nanometers. In contrast, this work presents peculiar printed thin films of shear‐oriented twisted cellulose nanocrystals with controllable hierarchical structures for mirrored optical response through the tailoring of the non‐traditional double Bouligand architecture. The free‐standing films exhibit mirrored circular dichroism and show complex optical activity with alternative polarization components, such as linear and circular birefringence that are very different from traditional self‐assembled organization. Furthermore, this unique synthetic double Bouligand structure shows increased mechanical robustness to compressive stresses and indentations along with enhanced elastic recovery. These results offer a scalable processing method to produce unique on‐demand thin bio‐derived chiroptical films with a unique optical signature with high mechanical robustness for laser actuation, optical encryption, and chiroptical sensors.",1287,TRUE,jsonl
10.1002/adpr.202400147,"Telecom band photonic quantum states generated from atomic systems are critical quantum resources for long‐distance and scalable quantum communication networks. Here, the beat phenomenon in the autocorrelation function of the telecom‐wavelength photon due to the velocity‐selective classes of the atoms in a Doppler‐broadened atomic ensemble of the cascade‐type 5S 1/2 –5P 3/2 –4D 5/2 transition of 87 Rb is reported. Although the signal (1529 nm) and idler (780 nm) photons are emitted from a single‐atomic ensemble, the autocorrelation functions of the signal and idler photons exhibit significantly different features, with temporal widths of 7 and 0.13 ns, respectively. Furthermore, the biphoton spectral waveform of the telecom band photon pair is measured using a stimulated emission method. The biphoton waveforms of the telecom‐wavelength biphoton source demonstrate good agreement with the magnitude of the Fourier components of the measured biphoton temporal and spectral waveforms.",993,TRUE,jsonl
10.1002/adsu.202400823,"Abstract A low‐cost, easy to make Bi‐TiO 2 ‐P25 composite is synthesized via a reverse micelle sol‐gel route and is tested for its ability to be activated under solar light. The photocatalyst is coated on recycled glass chips and glass slides (used as substrates) and is tested for degradation of 4‐Chlorophenol (4‐CP) and the removal of Escherichia coli ( E. coli) from water. Field tests are conducted in rural India for solar photo catalytic reduction of microbial contaminants in natural water. Two water sources are tested: well water used for drinking, with an initial count of 4800 colony‐forming unit (CFU)/100 mL for total coliforms, and pond water, used for washing and bathing, with an initial count of 92,000 CFU/100 mL for total coliforms and 3000 CFU/mL for E. coli . These water samples are filled into commercial polyethylene terephthalate (PET) bottles along with the catalyst coated chips and are exposed to sunlight. It is observed that the total coliform count have been reduced by up to 99% and E. coli by up to 99.9% in just 2 h, with excellent results in reusability tests. This study demonstrates the potential of solar photo catalysis to be used in real world drinking water treatment and will promote future advancements in this field.",1261,TRUE,jsonl
10.1002/advs.202407440,"Presently described is a sliding-kernel computation-in-memory (SKCIM) architecture conceptually involving two overlapping layers of functional arrays, one containing memory elements and artificial synapses for neuromorphic computation, the other is used for storing and sliding convolutional kernel matrices. A low-temperature metal-oxide thin-film transistor (TFT) technology capable of monolithically integrating single-gate TFTs, dual-gate TFTs, and memory capacitors is deployed for the construction of a physical SKCIM system. Exhibiting an 88% reduction in memory access operations compared to state-of-the-art systems, a 32 × 32 SKCIM system is applied to execute common convolution tasks. A more involved demonstration is the application of a 5-layer, SKCIM-based convolutional neural network to the classification of the modified national institute of standards and technology (MNIST) dataset of handwritten numerals, achieving an accuracy rate of over 95%.",966,TRUE,jsonl
10.1002/advs.202414982,"Pancreatic ductal adenocarcinoma (PDAC) is a leading cause of cancer-related mortality, largely due to late-stage diagnosis. Reliable early detection methods are critically needed. PDAC-derived extracellular vesicles (EVs) carry molecules that reflect their parental tumor cells and are detectable in early disease stages, offering a promising noninvasive diagnostic approach. Here, a streamlined PDAC EV Surface Protein Assay for quantifying PDAC EV subpopulations in 300-µL plasma through a two-step workflow is presented: i) click chemistry-mediated EV enrichment using EV Click Beads and trans-cyclooctene-grafted antibodies targeting three PDAC EV-specific surface proteins (MUC1, EGFR, and TROP2), and ii) quantification of enriched PDAC EVs through reverse transcription-quantitative polymerase chain reaction. The three PDAC EV-specific surface proteins are identified using a bioinformatics framework and validated on PDAC cell lines and tissue microarrays. The resultant PDAC EV Score, derived from signals of the three PDAC EV subpopulations, demonstrates robust differentiation of PDAC patients from noncancer controls, with area under the receiver operating characteristic curves of 0.94 in the training (n = 124) and 0.93 in the validation (n = 136) cohorts. This EV-based diagnostic approach successfully exploits PDAC EV subpopulations as novel biomarkers for PDAC early detection, translating PDAC surface proteins into an EV-based liquid biopsy platform.",1472,TRUE,jsonl
10.1002/advs.202506362,"For infection-associated implant osteomyelitis (IAOM) caused by Staphylococcus aureus, copper-induced bacterial death holds great potential. However, inducing bacterial cuproptosis-like death using low concentrations of copper (Cu) ions remains a challenge. Therefore, a ""herbal-piezoelectric heterojunction"" (Herbal-Piezo-HJ) is designed by integrating berberine (Ber) with Cu ion-doped Strontium titanate (SrTiO<sub>3</sub>, STO) on a Ti substrate (STO-Cu@Ber). Ber and acoustoelectric therapy (SPT) synergistically enhance the efficacy of low-concentration Cu ions in inducing bacterial cuproptosis-like death. The formation of inorganic/organic heterojunctions significantly enhances piezoelectric performance, generating marked electronic asymmetry at the interface under ultrasonic (US) irradiation and producing a large amount of reactive oxygen species (ROS). ROS and Ber together damage bacterial cell walls and membranes, promoting Cu ion uptake into bacterial cells. Consequently, the bacterial glycolytic respiratory mode is altered, the tricarboxylic acid cycle is significantly inhibited, and a large amount of nutrients are leaked, resulting in bacterial cuproptosis-like death. Additionally, Herbal-Piezo-HJ downregulates arachidonic acid metabolites, activates the cyclic adenosine monophosphate (cAMP) signaling pathway to resolve the inflammatory response after infection clearance, and promotes bone integration. Overall, the combination of herbal therapy and SPT to enhance bacterial cuproptosis-like death offers a promising strategy for eradicating IAOM.",1577,TRUE,jsonl
10.1002/advs.202506440,"Tendinopathy is a long-lasting, debilitating disease that not only affects patients' individual lives, but also imposes a significant socioeconomic burden. Due to an insufficient understanding of the underlying pathomechanisms, treatment options remain limited. Although tendinopathy is recognized as a multifactorial disorder, known risk factors and predisposing conditions have largely been studied in isolation. In this review, it is aimed to examine the various pathomechanisms identified to date and synthesize them into a unified concept. Particular emphasis is placed on key drivers believed to be critical in the onset and progression of the disease-namely mechanical stress, inflammation, and vascular changes. By exploring molecular signaling pathways and conditions involved in tendinopathy, how these mechanisms interact and reinforce one another is illustrated, forming a complex and dynamic signaling network, referred to as the tendinopathic loop. In the future, this network is expected to become even more intricate with the inclusion of emerging concepts such as intratendinous pressure and the potential influence of metabolic factors.",1154,TRUE,jsonl
10.1002/agg2.70117,"Abstract Cabbage ( Brassica oleracea var. capitata ) is an important vegetable crop grown in the sandy soils of Florida. The availability of phosphorus (P), an essential nutrient for cabbage growth and yield, can be limited by soil pH, aluminum (Al), iron (Fe), and calcium (Ca). This study assessed the response of cabbage plant P uptake and yield to different rates of P fertilizer applied at pre‐planting (P pp ) and supplemented with liquid P fertilizer applied at pre‐cupping (Sd 1 ) and cupping (Sd 2 ) stages. The field experiment was conducted during the fall of 2018 and 2019 with four P fertilizer rates (0, 25, 49, and 74 kg P ha −1 ) applied at P pp using triple phosphate (0‐46‐0). Two subsequent side‐dress applications (Sd 1 and Sd 2 ) of liquid P (0 or 12 kg P ha −1 ) were applied as phosphoric acid. Soil samples were collected before treatment application and after the Sd 2 to assess soil extractable P using Mehlich‐1 and Mehlich‐3 extractants. Whole plant samples were collected at harvest to measure dry biomass accumulation and estimate P uptake. During the growth stages leading up to head formation, cabbage leaf tissue did not show signs of P deficiency in either season, indicating that P was not limiting during the early stages. However, after head formation, leaves from plots that did not receive P fertilizer showed P values below the sufficiency range. Increasing P fertilizer rates at P pp significantly enhanced cabbage dry biomass accumulation, yield, and P uptake. Furthermore, an in‐season application of liquid P fertilizer increased overall cabbage total yield and P uptake. The results of the field experiments suggest that the current soil P interpretations based on Mehlich‐3 extractant for Florida did not reflect the plant‐available soil P, as they did not predict the observed response of total and marketable yield to added P fertilizer.",1885,TRUE,jsonl
