DOI,PaperProjectID_run1,Title_run1,Classification_run1,AdjudicationNote_run1,VetoApplied_run1,NoveltyScore_run1,Uniqueness_run1,Tension_run1,Synthesis_run1,Coherence_run1,Confidence_run1,ControversyIndex_run1,Spread_run1,RawConsensus_run1,PaperProjectID_run2,Title_run2,Classification_run2,AdjudicationNote_run2,VetoApplied_run2,NoveltyScore_run2,Uniqueness_run2,Tension_run2,Synthesis_run2,Coherence_run2,Confidence_run2,ControversyIndex_run2,Spread_run2,RawConsensus_run2,delta_NoveltyScore,delta_Uniqueness,delta_Tension,delta_Synthesis,delta_Coherence,delta_Confidence,delta_ControversyIndex,delta_Spread,class_match,veto_match
10.1016/j.aej.2024.11.052,290,Shuffle-PG: Lightweight feature extraction model for retrieving images of plant diseases and pests with deep metric learning,Moderately Novel,Consensus,False,0.6297,0.78,0.30000000000000004,0.717,0.93,0.936,0.7114,0.0711,0.6297,290,Shuffle-PG: Lightweight feature extraction model for retrieving images of plant diseases and pests with deep metric learning,Moderately Novel,Socratic Panel,False,0.6297,0.78,0.30000000000000004,0.717,0.93,0.8883000000000001,1.0,0.1241,0.6297,0.0,0.0,0.0,0.0,0.0,0.047699999999999965,0.28859999999999997,0.053000000000000005,True,True
10.4314/ijest.v16i2.3,291,Affordable cost techniques for growing edible mushrooms,Incremental,Consensus,False,0.4772,0.524,0.30000000000000004,0.7279,0.9316000000000001,0.9428000000000001,0.6361,0.0636,0.4772,291,Affordable cost techniques for growing edible mushrooms,Incremental,Consensus,False,0.4736,0.518,0.30000000000000004,0.7279,0.9316000000000001,0.9530000000000001,0.5222,0.0522,0.4736,0.003599999999999992,0.006000000000000005,0.0,0.0,0.0,0.010199999999999987,0.1139,0.0114,True,True
10.3390/jmse13101841,292,Numerical Investigation of Flow Field Characteristics Around a Monopile Foundation with Collar Protection,Incremental,Consensus,False,0.5343,0.616,0.30000000000000004,0.7466,0.9451,0.9681000000000001,0.3544,0.0354,0.5343,292,Numerical Investigation of Flow Field Characteristics Around a Monopile Foundation with Collar Protection,Incremental,Consensus,False,0.5379,0.622,0.30000000000000004,0.7466,0.9451,0.9274,0.8061,0.0806,0.5379,0.0036000000000000476,0.006000000000000005,0.0,0.0,0.0,0.04070000000000007,0.45170000000000005,0.045200000000000004,True,True
10.1007/s11523-023-01031-y,293,Planned Discontinuation of Tyrosine Kinase Inhibitor Therapy in Metastatic Renal Cell Carcinoma: Lessons for the Era of Immunotherapy,Incremental,VETO: Review Cap (Consensus),True,0.45,0.632,0.30000000000000004,0.7098,0.9381,0.9388000000000001,0.6797000000000001,0.068,0.5402,293,Planned Discontinuation of Tyrosine Kinase Inhibitor Therapy in Metastatic Renal Cell Carcinoma: Lessons for the Era of Immunotherapy,Incremental,VETO: Review Cap (Consensus),True,0.45,0.604,0.30000000000000004,0.7098,0.9381,0.9736,0.2928,0.029300000000000003,0.5234,0.0,0.028000000000000025,0.0,0.0,0.0,0.03479999999999994,0.3869000000000001,0.0387,True,True
10.24857/rgsa.v18n5-018,294,Indonesian Government Policy in Increasing State Revenue Through Raw Material Export Prohibitions,Incremental,Consensus,False,0.4909,0.544,0.30000000000000004,0.7448,0.9415,0.9288000000000001,0.7907000000000001,0.0791,0.4909,294,Indonesian Government Policy in Increasing State Revenue Through Raw Material Export Prohibitions,Incremental,Consensus,False,0.4837,0.532,0.30000000000000004,0.7448,0.9415,0.9219,0.8682000000000001,0.0868,0.4837,0.007199999999999984,0.01200000000000001,0.0,0.0,0.0,0.006900000000000017,0.07750000000000001,0.0076999999999999985,True,True
10.1093/jbmrpl/ziaf058,295,Osseous morphology differences in the foot and ankle associated with Charcot-Marie-Tooth disease,Incremental,Consensus,False,0.5335,0.618,0.30000000000000004,0.7266,0.9500000000000001,0.9341,0.732,0.0732,0.5335,295,Osseous morphology differences in the foot and ankle associated with Charcot-Marie-Tooth disease,Incremental,Consensus,False,0.5347000000000001,0.62,0.30000000000000004,0.7266,0.9500000000000001,0.9532,0.5197,0.052000000000000005,0.5347000000000001,0.0012000000000000899,0.0020000000000000018,0.0,0.0,0.0,0.019100000000000006,0.21229999999999993,0.021199999999999997,True,True
10.1128/spectrum.03507-23,296,Rolling the evolutionary dice: <i>Neisseria</i> commensals as proxies for elucidating the underpinnings of antibiotic resistance mechanisms and evolution in human pathogens,Incremental,Socratic Panel,False,0.54,0.632,0.30000000000000004,0.7077,0.9458000000000001,0.888,1.0,0.1245,0.54,296,Rolling the evolutionary dice: <i>Neisseria</i> commensals as proxies for elucidating the underpinnings of antibiotic resistance mechanisms and evolution in human pathogens,Incremental,Consensus,False,0.5448000000000001,0.64,0.30000000000000004,0.7077,0.9458000000000001,0.911,0.9884000000000001,0.0988,0.5448000000000001,0.0048000000000000265,0.008000000000000007,0.0,0.0,0.0,0.02300000000000002,0.011599999999999944,0.0257,True,True
10.1186/s12889-025-21627-5,297,How environmental perception influence depression and anxiety: the mediating role of social interaction,Incremental,Consensus,False,0.47850000000000004,0.536,0.30000000000000004,0.6686000000000001,0.9289000000000001,0.9547,0.503,0.050300000000000004,0.47850000000000004,297,How environmental perception influence depression and anxiety: the mediating role of social interaction,Incremental,Consensus,False,0.44970000000000004,0.488,0.30000000000000004,0.6686000000000001,0.9289000000000001,0.9595,0.4496,0.045,0.44970000000000004,0.028799999999999992,0.04800000000000004,0.0,0.0,0.0,0.0048000000000000265,0.0534,0.005300000000000006,True,True
10.1093/jnci/djae227,298,Histopathological response to chemotherapy and survival of mucinous type gastric cancer,Incremental,Consensus,False,0.5235000000000001,0.604,0.30000000000000004,0.7107,0.9191,0.9305,0.7724000000000001,0.0772,0.5235000000000001,298,Histopathological response to chemotherapy and survival of mucinous type gastric cancer,Incremental,Consensus,False,0.5139,0.588,0.30000000000000004,0.7107,0.9191,0.9391,0.6771,0.06770000000000001,0.5139,0.009600000000000053,0.016000000000000014,0.0,0.0,0.0,0.008600000000000052,0.09530000000000005,0.009499999999999995,True,True
10.56910/ictmt.v1i1.55,299,How To Improve Financial Performance For Disable People Organizer?,Incremental,Consensus,False,0.47650000000000003,0.52,0.30000000000000004,0.7452000000000001,0.9431,0.9512,0.5427000000000001,0.0543,0.47650000000000003,299,How To Improve Financial Performance For Disable People Organizer?,Incremental,Consensus,False,0.4717,0.512,0.30000000000000004,0.7452000000000001,0.9431,0.9658,0.3805,0.0381,0.4717,0.0048000000000000265,0.008000000000000007,0.0,0.0,0.0,0.014599999999999946,0.16220000000000007,0.0162,True,True
10.1515/med-2024-1124,2910,Research progress on the correlation between islet amyloid peptides and type 2 diabetes mellitus,Incremental,Consensus,False,0.4399,0.468,0.30000000000000004,0.6914,0.9122,0.9541000000000001,0.5096,0.051000000000000004,0.4399,2910,Research progress on the correlation between islet amyloid peptides and type 2 diabetes mellitus,Incremental,Consensus,False,0.43870000000000003,0.466,0.30000000000000004,0.6914,0.9122,0.9222,0.8641000000000001,0.0864,0.43870000000000003,0.0011999999999999789,0.0020000000000000018,0.0,0.0,0.0,0.03190000000000004,0.35450000000000004,0.0354,True,True
10.1093/jleuko/qiae204,2911,Blood immune profiles reveal a CXCR3/CCR5 axis of dysregulation in early sepsis,Moderately Novel,Consensus,False,0.553,0.618,0.4,0.6215,0.9238000000000001,0.9705,0.3279,0.0328,0.553,2911,Blood immune profiles reveal a CXCR3/CCR5 axis of dysregulation in early sepsis,Moderately Novel,Consensus,False,0.5614,0.632,0.4,0.6215,0.9238000000000001,0.9324,0.7508,0.0751,0.5614,0.008399999999999963,0.014000000000000012,0.0,0.0,0.0,0.03810000000000002,0.4229,0.0423,True,True
10.1016/j.jrmge.2024.12.018,2912,An unsupervised incremental learning model to predict geological conditions for earth pressure balance shield tunneling,Moderately Novel,Consensus,False,0.6241,0.776,0.30000000000000004,0.6846,0.9500000000000001,0.9536,0.5151,0.051500000000000004,0.6241,2912,An unsupervised incremental learning model to predict geological conditions for earth pressure balance shield tunneling,Moderately Novel,Consensus,False,0.6205,0.77,0.30000000000000004,0.6846,0.9500000000000001,0.9417000000000001,0.6482,0.0648,0.6205,0.0035999999999999366,0.006000000000000005,0.0,0.0,0.0,0.01189999999999991,0.1331,0.013299999999999992,True,True
10.3390/math12192972,2913,A Zassenhaus Lemma for Digroups,Incremental,Consensus,False,0.5124000000000001,0.586,0.30000000000000004,0.7078,0.924,0.9550000000000001,0.4998,0.05,0.5124000000000001,2913,A Zassenhaus Lemma for Digroups,Incremental,Consensus,False,0.5124000000000001,0.586,0.30000000000000004,0.7078,0.924,0.9835,0.1836,0.0184,0.5124000000000001,0.0,0.0,0.0,0.0,0.0,0.02849999999999997,0.31620000000000004,0.0316,True,True
10.2478/nuka-2025-0013,2914,Observation of <sup>99</sup> Mo radioactivity produced in natural molybdenum irradiated with an electron beam from a linear industrial accelerator,Incremental,Consensus,False,0.5261,0.612,0.30000000000000004,0.6889000000000001,0.9184,0.9421,0.643,0.06430000000000001,0.5261,2914,Observation of <sup>99</sup> Mo radioactivity produced in natural molybdenum irradiated with an electron beam from a linear industrial accelerator,Incremental,Consensus,False,0.5417000000000001,0.638,0.30000000000000004,0.6889000000000001,0.9184,0.9384,0.6842,0.0684,0.5417000000000001,0.015600000000000058,0.026000000000000023,0.0,0.0,0.0,0.0037000000000000366,0.041200000000000014,0.0040999999999999925,True,True
10.1111/fare.13185,2915,The good parent: Emerging themes and gender convergence in narrating fertility choices,Incremental,Consensus,False,0.5204,0.596,0.30000000000000004,0.7281000000000001,0.9407000000000001,0.9374,0.6956,0.06960000000000001,0.5204,2915,The good parent: Emerging themes and gender convergence in narrating fertility choices,Incremental,Consensus,False,0.5156000000000001,0.588,0.30000000000000004,0.7281000000000001,0.9407000000000001,0.9380000000000001,0.6894,0.0689,0.5156000000000001,0.0047999999999999154,0.008000000000000007,0.0,0.0,0.0,0.0006000000000000449,0.006199999999999983,0.0007000000000000062,True,True
10.3390/act13060229,2916,Gust Load Alleviation Control Strategies for Large Civil Aircraft through Wing Camber Technology,Incremental,Consensus,False,0.536,0.622,0.30000000000000004,0.7279,0.9262,0.9485,0.5723,0.0572,0.536,2916,Gust Load Alleviation Control Strategies for Large Civil Aircraft through Wing Camber Technology,Incremental,Consensus,False,0.536,0.622,0.30000000000000004,0.7279,0.9262,0.9182,0.9092,0.09090000000000001,0.536,0.0,0.0,0.0,0.0,0.0,0.030299999999999994,0.3369,0.03370000000000001,True,True
10.1186/s12904-025-01914-z,2917,Advance care planning in German nursing homes from the perspective of the facilitators: A focus group study,Incremental,Consensus,False,0.46630000000000005,0.512,0.30000000000000004,0.6912,0.8889,0.96,0.44420000000000004,0.0444,0.46630000000000005,2917,Advance care planning in German nursing homes from the perspective of the facilitators: A focus group study,Incremental,Consensus,False,0.48550000000000004,0.544,0.30000000000000004,0.6912,0.8889,0.9208000000000001,0.8801,0.088,0.48550000000000004,0.019199999999999995,0.03200000000000003,0.0,0.0,0.0,0.0391999999999999,0.43589999999999995,0.04359999999999999,True,True
10.18488/73.v12i2.3658,2918,Relationship of consumer behaviour in social media influences between perceived quality and brand awareness respectively towards brand image,Incremental,Consensus,False,0.51,0.5760000000000001,0.30000000000000004,0.7436,0.9389000000000001,0.9476,0.5823,0.0582,0.51,2918,Relationship of consumer behaviour in social media influences between perceived quality and brand awareness respectively towards brand image,Incremental,Consensus,False,0.49920000000000003,0.558,0.30000000000000004,0.7436,0.9389000000000001,0.9560000000000001,0.4894,0.0489,0.49920000000000003,0.010799999999999976,0.018000000000000016,0.0,0.0,0.0,0.008400000000000074,0.09290000000000004,0.009300000000000003,True,True
10.51867/ajernet.6.3.88,2919,"Social protection practices and retention of girls in primary schools in Pokot West Sub-County, Kenya",Incremental,Consensus,False,0.4832,0.534,0.30000000000000004,0.7277,0.9367000000000001,0.9618000000000001,0.4243,0.0424,0.4832,2919,"Social protection practices and retention of girls in primary schools in Pokot West Sub-County, Kenya",Incremental,Consensus,False,0.4748,0.52,0.30000000000000004,0.7277,0.9367000000000001,0.982,0.20040000000000002,0.02,0.4748,0.008400000000000019,0.014000000000000012,0.0,0.0,0.0,0.020199999999999885,0.2239,0.0224,True,True
10.3389/fsoc.2024.1458423,2920,Ethical challenges in qualitative sociology: a systematic literature review,Incremental,VETO: Review Cap (Consensus),True,0.45,0.544,0.25,0.7282000000000001,0.9338000000000001,0.9431,0.6323000000000001,0.0632,0.4742,2920,Ethical challenges in qualitative sociology: a systematic literature review,Incremental,VETO: Review Cap (Consensus),True,0.45,0.536,0.25,0.7282000000000001,0.9338000000000001,0.9380000000000001,0.6884,0.0688,0.46940000000000004,0.0,0.008000000000000007,0.0,0.0,0.0,0.005099999999999993,0.05609999999999993,0.005599999999999994,True,True
10.1002/mgg3.70032,2921,A Novel Splice Site Variant in <i>COL6A1</i> Causes Ullrich Congenital Muscular Dystrophy in a Consanguineous Malian Family,Incremental,Socratic Panel,False,0.5026,0.5760000000000001,0.30000000000000004,0.6698000000000001,0.9109,0.9099,1.0,0.10010000000000001,0.5026,2921,A Novel Splice Site Variant in <i>COL6A1</i> Causes Ullrich Congenital Muscular Dystrophy in a Consanguineous Malian Family,Incremental,Consensus,False,0.49060000000000004,0.556,0.30000000000000004,0.6698000000000001,0.9109,0.9321,0.7544000000000001,0.07540000000000001,0.49060000000000004,0.01200000000000001,0.020000000000000018,0.0,0.0,0.0,0.022199999999999998,0.24559999999999993,0.0247,True,True
10.1109/access.2025.3555741,2922,Challenges and Perspectives in Interpretable Music Auto-Tagging Using Perceptual Features,Moderately Novel,Consensus,False,0.623,0.62,0.6000000000000001,0.7103,0.9187000000000001,0.9877,0.137,0.0137,0.623,2922,Challenges and Perspectives in Interpretable Music Auto-Tagging Using Perceptual Features,Moderately Novel,Consensus,False,0.635,0.64,0.6000000000000001,0.7103,0.9187000000000001,0.923,0.8552000000000001,0.0855,0.635,0.01200000000000001,0.020000000000000018,0.0,0.0,0.0,0.06469999999999998,0.7182000000000001,0.0718,True,True
